QH121|07:00|18/05/2026|Phu Quoc|1|VN-A899|500|20
14|040092001133
26|018198004444
33|054090003322
52|059092001177
71|035193002222
96|084094009933
119|080095006655
130|086094009977
153|041096005588
187|043096005544
211|027090003366
256|068197004466
284|029090003300
299|025193002288
322|079091008855
374|013198004400
408|022094009999
438|061095006699
461|076091008811
497|052092001111
QH122|11:00|18/05/2026|Cat Bi|1|F-GZCP|500|20
4|014193002200
21|045090003388
39|021091008899
59|042090003344
78|060092001199
84|028096005533
102|036095006633
111|082092001155
146|032198004422
177|019193002244
192|073094009911
225|087091008833
267|055096005522
298|051095006611
333|058095006677
359|078094009955
401|026096005566
422|085091008877
455|069193002266
481|024198004488
VJ112|09:00|20/05/2026|Phu Bai|1|N14224|499|20
13|078091008822
19|022094009966
41|087094009900
64|054092001144
81|035092001100
98|026090003377
105|028193002255
154|021090003333
188|056092001188
203|081094009944
222|041096005511
258|057090003399
289|065095006666
317|013198004477
335|043096005555
371|080095006622
412|032193002299
443|066198004433
477|016198004411
496|074091008888
VJ113|12:00|20/05/2026|Chu Lai|1|AP-BMG|500|20
15|014193002277
22|061193002233
46|053095006688
61|087092001122
75|031198004499
100|032096005577
114|070094009988
133|049090003355
142|025096005533
187|023091008866
221|076094009922
253|045090003311
288|010193002211
308|083091008800
336|052096005599
367|084091008844
379|058095006644
419|062092001166
444|039095006600
498|029198004455
VJ272|06:00|16/05/2026|Da Nang|1|VN-A350|500|20
8|017192009944
15|046092007799
31|033091009911
55|026195004488
74|032191001100
103|018197006655
112|014092005544
133|086094002211
184|074089007722
209|050096008877
252|061093008833
276|081090009988
296|041097003355
319|073096004466
360|023094002244
378|082093001166
421|059090006699
445|067194002233
467|029098005577
499|055095003322
VJ273|10:00|16/05/2026|Cam Ranh|1|VH-OQI|490|20
16|053098007733
45|020198004466
51|016193002244
77|089091008844
82|028197004422
99|039096005511
109|051095006688
127|071094009955
194|088091008877
201|063092001100
218|065191008844
264|011193002211
290|057095006611
311|072094009922
352|085092001199
382|030096005533
426|047090003355
441|012093002277
473|044090003388
482|031096005577
VN102|08:00|15/05/2026|Tan Son Nhat|1|VN-A321|500|20
12|079194002834
18|056092003321
29|072189003456
42|045091238472
54|019193004765
76|083097001156
91|024099003345
115|038202001923
123|049091005543
158|036094007821
205|031093006211
221|034095001234
287|012095004821
312|001092004578
334|060088005712
367|066090008210
399|040094009988
402|087098006677
448|052185009432
488|025096002189
VN103|11:30|15/05/2026|Noi Bai|1|A6-EET|500|20
11|070094005533
19|015097003399
22|054093001155
57|042094007733
62|027098009977
88|022093004455
95|021195003311
126|080095006611
147|077098008866
173|048096002255
214|075191008822
228|084097007788
255|058193001122
301|064089005566
330|062092006699
389|035090004400
410|037090004422
432|030096001144
475|051192002288
492|011091008844
VN211|05:00|19/05/2026|Lien Khuong|1|VN-A212|500|20
11|057092001144
35|084094009944
44|056090003399
56|033092001100
69|031193002299
92|075091008888
122|054092001188
151|062095006666
189|025094009966
201|017198004411
226|089094009900
257|081095006622
294|077091008822
312|064198004433
338|044096005511
388|022090003333
415|012198004477
470|023193002255
482|040096005555
493|029090003377
VN212|08:30|19/05/2026|Buon Ma Thuot|1|A7-BCL|500|20
12|015193002277
27|060193002233
42|034198004499
58|043090003311
73|086092001122
96|052095006688
138|020091008866
157|024096005533
181|046090003355
204|071094009988
229|079094009922
251|088091008844
282|082091008800
316|027198004455
339|063092001166
377|011193002211
405|038095006600
449|059095006644
466|030096005577
491|051096005599
